name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Adapter Sạc Anker 511 Charger Nano 3 30W 1 Cổng Type-C A2147 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p199525542.html?spid=199525546,308000,500000,5.0,192000,38,113
Thẻ Nhớ microSD SanDisk Ultra 64GB UHS-I - 100MB/s (New 2020) - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p73315307.html?spid=73315308,119000,119000,4.8,0,0,971
"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Dễ Dàng Gấp Gọn, Giúp Tản Nhiệt Laptop, Máy Tính Xách Tay - 07 Nấc Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko","""Tamayoko""",https://tiki.vn/product-p201437397.html?spid=113829752,196000,250000,4.7,54000,22,290
Cáp sạc và truyền dữ liệu cho IP Remax RC-138i - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p251518027.html?spid=263272322,48999,54999,0.0,6000,11,0
"Pad Lót Chuột Nhiều Hình-Giao màu,hình ngẫu nhiên","""OEM""",https://tiki.vn/product-p46193718.html?spid=67199957,32900,35000,4.6,2100,6,33
Giá đỡ laptop nhôm cao cấp có thể gấp gọn dành cho Macbook Ipad Surface và máy tính xách tay,"""OEM""",https://tiki.vn/product-p273047537.html?spid=107982908,147250,155000,4.7,7750,5,47
Chuột Không Dây Logitech M220 Silent Plus - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p10198980.html?spid=247855978,243000,243000,5.0,0,0,6
Bút laser trình chiếu Slide VSON N35 - Hàng nhập khẩu,"""VSON""",https://tiki.vn/product-p24865067.html?spid=104886482,152000,173000,4.8,21000,12,67
Tai Nghe Nhét Tai Sony Fontopia MDR-E9LP - Hàng Chính Hãng,"""Sony""",https://tiki.vn/product-p125781.html?spid=125798,140000,149000,0.0,9000,6,0
"Lót Chuột FIRO - Miếng Lót Chuột Cỡ Lớn 80cmx40cm - Tấm Lót Chuột, Pad Chuột FIRO Sử Dụng 2 Mặt Tiện Lợi - Chất Liệu Da PU Cao Cấp - Thiết Kế Sang Trọng - Chống Nhăn, Chống Nước, Chống Bám Bụi - Hàng Chính Hãng","""FIRO""",https://tiki.vn/product-p262478106.html?spid=262478114,118000,265000,4.7,147000,55,15
"Dây Cáp Sạc Nhanh Đa Năng 4 in 1 Baseus rapid series 4 in 1 (3.5A, 1.2M, Fast charge 4 in 1 Cable) - 2 đầu dùng cho iPhone - 1 đầu TypeC - 1 đầu micro usb - Hàng Chính Hãng","""Baseus""",https://tiki.vn/product-p152464834.html?spid=243037866,150000,300000,4.8,150000,50,44
Apple Magic Mouse 2021- Silver,"""Apple""",https://tiki.vn/product-p135151945.html?spid=135151946,1450000,3490000,5.0,2040000,58,258
"Tấm Lót Chuột, Thảm Da Trải Bàn Làm Việc VinBuy, Miếng Di Chuột Cỡ Lớn 40cmx80cm - Hàng Chính Hãng ","""VinBuy""",https://tiki.vn/product-p137864606.html?spid=193777817,95000,150000,4.7,55000,37,250
"Tai Nghe Bluetooth Không Dây Cao Cấp EQ1 Pin 7H Âm Thanh Sống Động Bass Chắc Cảm Ứng, Có Mic Đèn Led Sang Trọng - Hàng Chính Hãng","""Hoco""",https://tiki.vn/product-p271995193.html?spid=271995199,313000,500000,4.8,187000,37,26
Chuột Bluetooth Silent Logitech Pebble M350 - Hàng chính hãng,"""Logitech""",https://tiki.vn/product-p67907870.html?spid=105362052,436000,599000,5.0,163000,27,436
Cáp Sạc ANKER PowerLine+ II USB-C to Lightning - Phiên Bản Marvel - A9551 / A9548 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p195300886.html?spid=195300892,333000,550000,5.0,217000,39,87
CỐC SẠC NHANH 15W 2 CỔNG CHỐNG CHÁY NỔ HOCO C73 - CỦ SẠC ĐA NĂNG 2.4A CHO CÁC DÒNG ĐIỆN THOẠI CHÍNH HÃNG,"""Hoco""",https://tiki.vn/product-p56049649.html?spid=76514573,49000,75000,4.7,26000,35,533
"Cáp sạc nhanh, truyền dữ liệu tốc độ cao Baseus Cafule Type C cho Samsung S8/S9/ Note8/ Note9/ Xiaomi/ Huawei/ Oppo/Nokia ( 3A, Sạc nhanh Quick charge 3.0, Siêu bền)- Hàng nhập khẩu","""Baseus""",https://tiki.vn/product-p35420153.html?spid=83001993,75000,108000,4.8,33000,31,242
"Chuột không dây bluetooth Logitech POP MOUSE - giảm ồn, nút emoji tùy chỉnh - Hàng chính hãng","""Logitech""",https://tiki.vn/product-p173058453.html?spid=173058457,549522,899000,4.8,349478,39,197
Bộ Thu Phát Bluetooth TP-Link UB500 USB Nano Bluetooth 5.0 - Hàng Chính Hãng,"""TP-Link""",https://tiki.vn/product-p134364129.html?spid=164404549,129000,139000,5.0,10000,7,332
"Cáp chuyển đổi Hoco LS30 Type-C to 3.5mm hỗ trợ nghe nhạc, mic đàm thoại thiết kế nhỏ gọn - Hàng chính hãng","""Hoco""",https://tiki.vn/product-p109135965.html?spid=249573699,73000,99000,5.0,26000,26,9
Cáp sạc nhanh PD20W truyền dữ liệu Baseus Metal Data Type-C sang iPhone ( 2 size ) - Hàng chính hãng,"""Baseus""",https://tiki.vn/product-p109455098.html?spid=141647220,93000,139000,5.0,46000,33,45
Cáp Sạc ANKER Powerline+ II USB-C To USB-C Phiên Bản Marvel - A9547 / A9549 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p195300846.html?spid=195300854,196000,300000,5.0,104000,35,80
Giá Đỡ Điện Thoại Để Bàn Hình Ghế Thời Trang - Giao Màu Ngẫu Nhiên,"""OEM""",https://tiki.vn/product-p25325318.html?spid=173465781,16900,16900,5.0,0,0,9
Bàn phím có dây Logitech K120 - Hàng chính hãng,"""Logitech""",https://tiki.vn/product-p359484.html?spid=22777832,145000,145000,4.8,0,0,365
"Thi.ết bị định vị GPS, Wifi Q08 mini App Miwitracker Độ chính xác cao Hàng nhập khẩu","""AMA""",https://tiki.vn/product-p230082946.html?spid=230082947,1150000,1150000,4.8,0,0,13
"Hub Type-C To HDMI FIRO 6in1 Chuẩn HDTV - Hub Chuyển Đổi Type-C Chia 6 Cổng - 1 Cổng HDMI/HDTV 4K, 2 Cổng USB 3.0, 2 Khe Đọc Thẻ TF Và SD, 1 Cổng Sạc Nhanh Type C PD - Kết Nối Tốc Độ Cao - Dùng Cho Smartphone/Laptop/PC/Tivi/Playstation – Hàng Chính Hãng","""FIRO""",https://tiki.vn/product-p263433314.html?spid=263433315,258000,579000,5.0,321000,55,17
"Kính Cường Lực Đồng hồ Thông minh Y95, C80, Q12S, K9, C90, LT31, D31, TD26, Y8S Kích thước 33mm x39mm Hàng nhập khẩu","""AMA""",https://tiki.vn/product-p199596970.html?spid=199596971,33000,33000,4.8,0,0,10
"Dây sạc Cáp sạc Nam châm Đồng hồ Thông minh Q12, Q16, Q19, Q100, TD26, A28, DS60, DS66, Y95, D06, DF39 Hàng nhập khẩu","""AMA""",https://tiki.vn/product-p68985833.html?spid=75432935,57000,57000,4.6,0,0,174
Chuột Không Dây HXSJ X50 Plus - Hàng Chính Hãng,"""HXSJ""",https://tiki.vn/product-p56889347.html?spid=56889351,137000,245000,4.3,108000,44,573
Tai Nghe Bluetooth Cao Cấp EQ2 5.3 Pin 7h Âm Thanh Sống Động Bass căng - Hàng Chính Hãng,"""Hoco""",https://tiki.vn/product-p272030678.html?spid=272030682,277000,500000,4.8,223000,45,41
Sạc dự phòng All-in-one dung lượng 15000mAh Remax RPP-276 - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p207789733.html?spid=263274832,789999,1199999,4.0,410000,34,1
Chuột Có Dây Logitech M100R - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p370998.html?spid=217143448,119000,119000,5.0,0,0,3
CÂY CHỌC SIM ĐIỆN INOX - QUE CHỌC SIM INOX HÌNH GIỌT NƯỚC,"""OEM""",https://tiki.vn/product-p133637826.html?spid=193714734,1000,3000,5.0,2000,67,4
Bộ Sạc Nhanh 25W Dành Cho Samsung Chân Cắm Type C,"""OEM""",https://tiki.vn/product-p105209267.html?spid=116774763,149000,149000,5.0,0,0,3
Chuột không dây Logitech SIGNATURE M650 Wireless/Bluetooth - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p162772687.html?spid=171126752,598000,598000,4.8,0,0,384
"Hub Type C FIRO Và Hub USB FIRO 3.0 Adapter 4in1 - Bộ Chia USB FIRO Ra Nhiều Cổng Kết Nối Chuyển Đổi Cho Laptop,PC, Máy Tính Đa Năng - Hub FIRO Hỗ Trợ Sạc Pin, Kết Nối Đa Năng Ổ Cứng, Bàn Phím, Chuột, Máy In, Thiết Bị Chia Ổ USB - Hàng Chính Hãng","""FIRO""",https://tiki.vn/product-p262031506.html?spid=262031507,157000,319000,5.0,162000,51,14
Chuột không dây Logitech M240 Silent Bluetooth - Hàng chính hãng,"""Logitech""",https://tiki.vn/product-p263354473.html?spid=263354477,312000,389000,4.3,77000,20,23
Tai nghe In Ear Remax RM330 - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p102782859.html?spid=102782861,220000,250000,4.7,30000,12,546
Ốp Lưng Silicon TPU trong suốt GOR cho iPhone 15 / 15 Plus / 15 Pro / 15 Pro Max - Hàng Chính Hãng,"""Gor""",https://tiki.vn/product-p272126499.html?spid=273099540,54999,58888,0.0,3889,7,0
Miếng Lót Chuột FIRO MXL800 EXTENDED - Tấm Lót Chuột Cỡ Lớn 2 Mặt 80cmx40cm - Chất Liệu Da PU Cao Cấp - Tấm Lót Chuột Và Bàn Phím Chơi Game - Tấm Trải Bàn Làm Việc - Hàng Chính Hãng FIRO,"""FIRO""",https://tiki.vn/product-p242665662.html?spid=242665666,97000,229000,4.8,132000,58,79
Dây 2 Đầu HDMI 1.5m Unitek - Cáp Chuyển HDMI Sang HDMI 1.5m - Hàng Chính Hãng,"""Unitek""",https://tiki.vn/product-p32989128.html?spid=174085861,105000,105000,5.0,0,0,10
Ốp lưng kéo nắp hỗ trợ sạc từ tính dành cho iPhone 12 / 13 / 14 / 15 / 12 Pro / 12 Pro Max / 13 Mini / 13 Pro / 13 Pro Max / 14 Plus / 14 Pro / 14 Pro Max / 15 Plus / 15 Pro / 15 Pro Max - Hàng chính hãng,"""Photodesign VN""",https://tiki.vn/product-p196718477.html?spid=209608709,239000,250000,5.0,11000,4,26
Apple Pencil 2 - MU8F2,"""Apple""",https://tiki.vn/product-p123847933.html?spid=7395669,2790000,4890000,5.0,2100000,43,1030
Chuột Không Dây Tĩnh Âm ROBOT M350 - Kết Nối Bluetooth & USB Nano 2.4 GHz - Độ Phân Giải 1600 DPI - Hàng chính hãng,"""Robot""",https://tiki.vn/product-p117974701.html?spid=117974702,189000,349000,4.7,160000,46,24
"Dây đeo thay thế cho vòng đeo tay miband 5 chất liệu  Silicone không thấm nước, bền, đẹp, dễ vệ sinh  màu đen thương hiệu PKCB - Hàng chính hãng","""PKCB""",https://tiki.vn/product-p174294337.html?spid=174294338,38000,90000,4.6,52000,58,35
